"","level","Overall","0","1","2","p","test","Missing"
"n","","183","82","46","55","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","67.50 [65.00, 71.00]","65.00 [60.00, 69.13]","66.00 [62.50, 70.00]","0.059","nonnorm","0.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.20 [0.90, 1.48]","0.96 [0.85, 1.14]","1.08 [0.87, 1.30]","0.105","nonnorm","42.6"
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","8.35 [7.00, 11.00]","8.10 [7.50, 9.75]","8.95 [6.92, 10.53]","0.953","nonnorm","45.4"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.20 [-20.82, 21.22]","-19.45 [-21.15, -3.65]","1.08 [-20.95, 24.35]","0.896","nonnorm","84.7"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [9.00, 15.00]","12.70 [8.36, 13.25]","11.00 [9.80, 12.77]","0.400","nonnorm","57.9"
"echo_ef_abnormal (%)","0","182 (100.0)","82 (100.0)","45 (100.0)","55 (100.0)","NA","","0.5"
"echo_eeratio_abnormal (%)","0","94 (94.0)","40 (95.2)","20 (90.9)","34 (94.4)","0.779","","45.4"
"","1","6 (6.0)","2 (4.8)","2 (9.1)","2 (5.6)","","",""
"echo_gls_abnormal (%)","0","12 (42.9)","6 (42.9)","1 (25.0)","5 (50.0)","0.694","","84.7"
"","1","16 (57.1)","8 (57.1)","3 (75.0)","5 (50.0)","","",""
"echo_lateral_e_abnormal (%)","0","55 (71.4)","24 (72.7)","10 (62.5)","21 (75.0)","0.661","","57.9"
"","1","22 (28.6)","9 (27.3)","6 (37.5)","7 (25.0)","","",""
"echo_tr_abnormal (%)","0","22 (73.3)","14 (82.4)","2 (40.0)","6 (75.0)","0.169","","83.6"
"","1","8 (26.7)","3 (17.6)","3 (60.0)","2 (25.0)","","",""
"echo_lavi_abnormal (%)","0","81 (57.4)","35 (53.8)","24 (75.0)","22 (50.0)","0.068","","23.0"
"","1","60 (42.6)","30 (46.2)","8 (25.0)","22 (50.0)","","",""
