"","level","Overall","0","1","p","test","Missing"
"n","","107","66","41","","",""
"echo_ef (median [IQR])","","66.00 [62.75, 70.50]","67.50 [62.50, 71.00]","66.00 [64.00, 69.00]","0.406","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.20 [0.93, 1.64]","1.05 [0.83, 1.30]","0.065","nonnorm","38.3"
"echo_eeratio (median [IQR])","","8.64 [7.00, 10.10]","9.00 [7.00, 10.53]","7.70 [7.00, 9.90]","0.200","nonnorm","39.3"
"echo_gls (median [IQR])","","22.70 [20.70, 25.50]","22.50 [21.00, 23.80]","25.20 [20.32, 26.10]","0.441","nonnorm","84.1"
"echo_lateral_e (median [IQR])","","12.00 [9.60, 14.00]","12.00 [10.50, 14.00]","11.65 [8.95, 13.00]","0.384","nonnorm","52.3"
"echo_ef_abnormal (%)","0","97 (90.7)","61 (92.4)","36 (87.8)","0.648","","0.0"
"","1","10 (9.3)","5 (7.6)","5 (12.2)","","",""
"echo_ef_abnormal_youden (%)","0","71 (66.4)","42 (63.6)","29 (70.7)","0.586","","0.0"
"","1","36 (33.6)","24 (36.4)","12 (29.3)","","",""
"echo_eeratio_abnormal (%)","0","62 (95.4)","37 (92.5)","25 (100.0)","0.427","","39.3"
"","1","3 (4.6)","3 (7.5)","0 (0.0)","","",""
"echo_gls_abnormal (%)","0","17 (100.0)","9 (100.0)","8 (100.0)","NA","","84.1"
"echo_lateral_e_abnormal (%)","0","38 (74.5)","25 (80.6)","13 (65.0)","0.356","","52.3"
"","1","13 (25.5)","6 (19.4)","7 (35.0)","","",""
"echo_tr_abnormal (%)","0","11 (73.3)","7 (70.0)","4 (80.0)","1.000","","86.0"
"","1","4 (26.7)","3 (30.0)","1 (20.0)","","",""
"echo_lavi_abnormal (%)","0","47 (57.3)","24 (49.0)","23 (69.7)","0.103","","23.4"
"","1","35 (42.7)","25 (51.0)","10 (30.3)","","",""
